"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"111","Highdown Gardens","0.034","0.12","-0.441","50.824"
"112","unnamed","0.033","0.29","-1.364","50.892"
"113","Leegomery Pools","0.033","0.11","-2.496","52.708"
"114","Bishops Road Recreat...","0.033","0.21","-0.233","52.569"
"115","unnamed","0.033","0.13","-2.512","53.514"
"116","Belhus Park","0.032","0.68","0.264","51.506"
"117","unnamed","0.032","0.15","-2.02","53.114"
"118","Victoria Park","0.032","0.11","-3.02","53.373"
"119","Decoy Country Park","0.032","0.54","-3.603","50.518"
"120","Lyndon Playing Field...","0.032","0.13","-1.8","52.454"
"121","unnamed","0.031","0.34","-1.242","53.485"
"122","Yeovil Recreation Ce...","0.031","0.17","-2.638","50.953"
"123","Mayon Green","0.031","0.14","-5.69","50.078"
"124","Holywells Park","0.031","0.18","1.174","52.047"
"125","Kings' Park","0.031","0.10","-0.946","53.321"
"126","East Fen Common","0.031","0.21","0.353","52.332"
"127","Alexandra Park","0.031","0.36","0.567","50.869"
"128","Parklands Leisure Ce...","0.031","0.12","-3.995","50.734"
"129","The Well Head Fields","0.031","0.10","-0.379","52.765"
"130","Community North Spor...","0.03","0.29","-1.437","54.932"
"131","King George's Field","0.03","0.16","-2.007","52.623"
"132","unnamed","0.03","0.13","-2.916","50.923"
"133","Basildon Sporting Vi...","0.03","0.25","0.451","51.577"
"134","North Down Recreatio...","0.03","0.12","-0.022","51.345"
"135","Salt Hill Pleasure G...","0.03","0.13","-0.604","51.512"
"136","unnamed","0.029","0.11","-2.82","54.064"
"137","Gosport Park","0.029","0.10","-1.134","50.787"
"138","Orford Park","0.029","0.15","-2.582","53.404"
"139","Mansel Park","0.029","0.10","-1.46","50.928"
"140","Burgate Great Green","0.029","0.17","1.056","52.346"
"141","Albany Park","0.029","0.17","-1.525","54.911"
"142","Frank's Park","0.029","0.18","0.161","51.487"
"143","Broadhurst Park Play...","0.029","0.11","-2.182","53.517"
"144","Jackey Baker's Recre...","0.028","0.17","1.397","51.352"
"145","Grin Low And Buxton ...","0.028","0.42","-1.925","53.247"
"146","unnamed","0.028","0.27","0.542","51.265"
"147","Prairie Sports Villa...","0.028","0.17","-2.237","53.813"
"148","Rectory Farm Pocket ...","0.028","0.13","-0.803","52.266"
"149","St Chad's Park","0.028","0.14","0.133","51.575"
"150","Rimrose Valley Count...","0.028","1.16","-3.006","53.481"
"151","Fairway Sports Compl...","0.028","0.11","-1.166","50.657"
"152","Sharley Park Leisure...","0.028","0.15","-1.402","53.166"
"153","Ellergreen Park","0.027","0.28","-2.771","54.349"
"154","Ward End Park","0.027","0.19","-1.837","52.493"
"155","Mill Green Nature Pa...","0.027","0.28","-2.015","52.689"
"156","unnamed","0.027","0.12","1.574","52.458"
"157","Regent's Park","0.027","1.36","-0.154","51.531"
"158","unnamed","0.027","0.13","-1.782","51.587"
"159","Charlton Park","0.027","0.14","0.046","51.48"
"160","Hall Park","0.026","0.14","-0.598","52.285"
"161","Walker Park","0.026","0.11","-1.547","54.971"
"162","Yarborough Leisure C...","0.026","0.11","-0.542","53.248"
"163","Marston Park","0.026","0.93","-2.341","51.202"
"164","Upton Park","0.025","0.13","-3.096","53.396"
"165","Southall Park","0.025","0.10","-0.368","51.509"
"166","London Fields","0.025","0.13","-0.059","51.54"
"167","unnamed","0.025","0.17","-0.452","53.997"
"168","Oare Gunpowder Works...","0.024","0.16","0.875","51.325"
"169","Central Park","0.024","0.19","-3.037","53.416"
"170","Rutland Sports Park","0.024","0.20","-1.319","52.969"
"171","Sutton Lawn","0.024","0.31","-1.248","53.124"
"172","Southrepps Common","0.024","0.11","1.361","52.865"
"173","Bexhill Down","0.023","0.16","0.464","50.847"
"174","Sluice Common","0.023","0.12","0.367","52.583"
"175","Market Gardens","0.023","0.16","-1.932","55.671"
"176","Seaton Valley Countr...","0.023","0.58","-4.387","50.375"
"177","Parnham Park","0.023","0.14","-2.741","50.802"
"178","Chaddesden Park","0.023","0.24","-1.43","52.926"
"179","King's Norton Park","0.023","0.10","-1.93","52.41"
"180","Netherwood Country P...","0.023","0.18","-1.406","53.533"
"181","Moor Park","0.023","0.40","-2.697","53.773"
"182","Lampton Park","0.023","0.17","-0.37","51.473"
"183","Aylestone Leisure Ce...","0.023","0.13","-1.133","52.608"
"184","Heacham Park","0.023","0.18","0.497","52.914"
"185","Seaclose Recreation ...","0.023","0.17","-1.286","50.707"
"186","The Ponderosa","0.022","0.12","-1.486","53.386"
"187","Westfield Park","0.022","0.16","-1.604","55.082"
"188","Aston Park","0.022","0.22","-1.883","52.506"
"189","unnamed","0.022","0.14","-2.163","52.269"
"190","Reculver Country Par...","0.022","0.26","1.184","51.376"
"191","Scrivelsby Park","0.022","1.09","-0.097","53.176"
"192","Beacon Park","0.022","0.29","-1.837","52.684"
"193","Leagrave Common","0.022","0.30","-0.46","51.91"
"194","Lloyd Park","0.022","0.12","-0.019","51.594"
"195","Nunroyd Park","0.022","0.20","-1.697","53.869"
"196","unnamed","0.022","0.10","0.827","52.576"
"197","Southglade Leisure C...","0.021","0.27","-1.17","53"
"198","unnamed","0.021","0.18","-1.155","53.615"
"199","unnamed","0.021","0.14","-0.039","51.695"
"200","Hengrove Park Leisur...","0.021","0.34","-2.579","51.414"
