"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"1","unnamed","0.264","0.13","-1.796","52.492"
"2","Ley Hill Recreation ...","0.137","0.20","-1.979","52.421"
"3","Hutton Moor Leisure ...","0.135","0.19","-2.95","51.344"
"4","Paddington Recreatio...","0.123","0.11","-0.189","51.53"
"5","South Cliff Gardens","0.121","0.14","-0.393","54.27"
"6","Burn Valley Gardens","0.116","0.10","-1.227","54.678"
"7","Jubilee Park","0.111","0.11","-2.047","52.538"
"8","Brookfields Park","0.107","0.29","-1.317","53.51"
"9","unnamed","0.104","0.14","0.155","52.668"
"10","Robin Hill Country P...","0.103","0.47","-1.239","50.687"
"11","Walton Hall Park","0.098","0.54","-2.952","53.448"
"12","Small Heath Park","0.096","0.17","-1.852","52.465"
"13","unnamed","0.094","0.17","-0.68","52.295"
"14","Osmaston Park","0.093","0.13","-1.462","52.893"
"15","Gunby Park","0.091","0.47","0.195","53.179"
"16","Mandale Park","0.086","0.19","-2.168","53.609"
"17","Barnford Hill Park","0.084","0.11","-2.004","52.484"
"18","Philips Park","0.083","0.12","-2.194","53.488"
"19","The Lawn","0.082","0.36","-1.766","51.551"
"20","Priory Park","0.08","0.18","0.707","51.553"
"21","Lake Farm Country Pa...","0.078","0.25","-0.429","51.511"
"22","Newham Grange Park","0.077","0.21","-1.339","54.577"
"23","unnamed","0.074","0.10","-0.276","52.595"
"24","Brinton Park","0.073","0.11","-2.257","52.38"
"25","Parsloes Park","0.072","0.60","0.135","51.544"
"26","Central Park","0.071","0.68","-4.147","50.386"
"27","Poolfoot Farm Traini...","0.07","0.14","-3.007","53.885"
"28","Rowley Park Sports S...","0.069","0.13","-2.123","52.794"
"29","Memorial Park","0.068","0.14","-2.063","52.587"
"30","Holland Park","0.068","0.21","-0.202","51.502"
"31","Monks-Neil Park","0.068","0.14","-2.187","53.069"
"32","Holbrooks Park","0.067","0.12","-1.513","52.439"
"33","Cleaver Park Sports ...","0.064","0.11","-1.466","52.531"
"34","Clarence Park","0.063","0.23","-2.285","53.606"
"35","Victoria Park","0.063","0.21","-2.586","51.44"
"36","Kettlebrook Park","0.062","0.35","-1.664","52.614"
"37","unnamed","0.06","0.33","-2.106","52.985"
"38","Queen's Park Sports ...","0.059","0.12","-1.433","53.233"
"39","Laithwaite Park","0.059","0.14","-2.658","53.541"
"40","unnamed","0.058","0.10","-2.869","53.367"
"41","West Ham Park","0.057","0.26","0.02","51.539"
"42","unnamed","0.057","0.12","-0.167","51.388"
"43","King George's Field","0.055","0.37","-1.479","54.968"
"44","Town Field","0.055","0.37","-1.117","53.523"
"45","Summerfield Park","0.054","0.15","-1.939","52.484"
"46","The Warren","0.054","0.13","-5.118","50.41"
"47","Plumstead Common","0.054","0.38","0.099","51.481"
"48","Humberstone Park","0.054","0.12","-1.083","52.639"
"49","Ox Hay Pleasure Grou...","0.053","0.12","-1.625","52.8"
"50","Gallager Park","0.051","0.15","-1.58","55.139"
"51","King Edward VII Park","0.051","0.10","-0.294","51.557"
"52","The Shire Country Pa...","0.051","0.90","-1.864","52.419"
"53","unnamed","0.051","0.14","-1.678","54.986"
"54","Chasewater","0.05","3.03","-1.948","52.669"
"55","Barton's Point","0.049","0.31","0.79","51.436"
"56","Hackney Downs","0.049","0.16","-0.061","51.554"
"57","South Park","0.049","0.23","-1.229","51.751"
"58","Clee Fields","0.048","0.17","-0.057","53.555"
"59","unnamed","0.048","0.35","-2.955","51.157"
"60","Neatherd Moor","0.048","0.15","0.957","52.683"
"61","unnamed","0.047","0.15","-0.368","53.776"
"62","unnamed","0.046","0.13","-1.851","52.529"
"63","Montrose Playing Fie...","0.045","0.11","-0.256","51.597"
"64","unnamed","0.045","0.22","-2.296","53.497"
"65","Samphire Hoe Country...","0.045","0.32","1.273","51.104"
"66","Queen's Park","0.045","0.20","-2.443","53.579"
"67","Old Park","0.044","0.12","-3.44","51.184"
"68","Lyme and Wood Pits C...","0.044","0.99","-2.653","53.462"
"69","unnamed","0.044","0.15","-1.29","53.599"
"70","unnamed","0.042","0.15","-0.132","51.502"
"71","Melland Field","0.042","0.12","-2.176","53.452"
"72","unnamed","0.042","0.12","-1.46","52.399"
"73","unnamed","0.042","0.13","-1.349","52.727"
"74","Bowness Gardens","0.041","0.14","-2.606","51.497"
"75","Turbary Common","0.041","0.43","-1.916","50.752"
"76","unnamed","0.041","0.14","-2.638","53.658"
"77","Haden Hill Park","0.041","0.37","-2.063","52.463"
"78","Newsham Park","0.041","0.41","-2.938","53.42"
"79","Marl Pits Sports Com...","0.041","0.17","-2.269","53.705"
"80","Durants Park","0.041","0.20","-0.04","51.653"
"81","Link Common","0.04","0.20","-2.318","52.123"
"82","Manor Gardens","0.04","0.11","-3.501","50.461"
"83","Millbrook Park Mille...","0.04","0.15","-2.891","53.487"
"84","Queen's Park","0.039","0.12","-2.459","53.74"
"85","unnamed","0.039","0.15","0.352","51.419"
"86","Elmers Green Common","0.039","0.22","-2.762","53.552"
"87","Chilton Fields Sport...","0.038","0.12","0.976","52.195"
"88","Lordship Recreation ...","0.038","0.23","-0.086","51.594"
"89","unnamed","0.038","0.11","-1.101","53.323"
"90","Knights Grange Sport...","0.037","0.77","-2.544","53.2"
"91","Saltburn Valley","0.037","0.23","-0.97","54.579"
"92","Jubilee Park","0.037","0.11","-0.994","53.582"
"93","King George V Playin...","0.037","0.11","-1.212","52.972"
"94","Babb's Mill Recreati...","0.037","0.10","-1.746","52.489"
"95","Riddings Park","0.037","0.21","-1.36","53.072"
"96","Hetton Lyons Country...","0.037","0.54","-1.439","54.822"
"97","Peel Park","0.036","0.26","-1.742","53.808"
"98","unnamed","0.036","0.11","-1.499","53.809"
"99","Knightshayes Park","0.036","0.71","-3.479","50.921"
"100","Norbury Park","0.036","0.11","-0.117","51.413"
"101","Prince's Park","0.036","0.26","-2.415","53.444"
"102","The Park","0.036","0.13","-2.463","52.913"
"103","Jubilee Meadows","0.035","0.16","-1.681","54.706"
"104","Blackleach Country P...","0.035","0.31","-2.392","53.532"
"105","unnamed","0.035","0.19","-1.341","52.558"
"106","Bluebell Park","0.034","0.22","-2.092","52.523"
"107","Abbey Park","0.034","0.36","-1.134","52.646"
"108","unnamed","0.034","0.13","-1.439","53.56"
"109","Mount Farm Park","0.034","0.19","-0.722","52.006"
"110","Bromsgrove School Sp...","0.034","0.11","-2.063","52.327"
