"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"112","unnamed","0.036","0.17","-0.452","53.997"
"113","Roxbourne Park","0.036","0.16","-0.382","51.575"
"114","Grin Low And Buxton ...","0.036","0.42","-1.925","53.247"
"115","Allesley Park Golf C...","0.036","0.12","-1.555","52.419"
"116","Duncan Down","0.036","0.10","1.028","51.345"
"117","Over Norton Park","0.035","0.53","-1.533","51.954"
"118","Tiptree Heath","0.035","0.21","0.731","51.799"
"119","Whittleford Park","0.035","0.50","-1.503","52.526"
"120","Hatch Grange","0.034","0.15","-1.336","50.93"
"121","Test Park","0.034","0.14","-1.468","50.928"
"122","Anstey Park","0.034","0.19","-0.962","51.16"
"123","Royal Victoria Park","0.034","0.22","-2.374","51.387"
"124","High Tor Recreation ...","0.034","0.19","-1.555","53.129"
"125","Ryton Willows","0.034","0.29","-1.753","54.98"
"126","Yeovil Recreation Ce...","0.034","0.17","-2.638","50.953"
"127","Marl Pits Sports Com...","0.034","0.17","-2.269","53.705"
"128","Pype Hayes Park","0.033","0.42","-1.807","52.527"
"129","Leegomery Pools","0.033","0.11","-2.496","52.708"
"130","Cusworth Park","0.033","0.22","-1.175","53.528"
"131","Warley Park","0.033","0.25","-1.981","52.473"
"132","unnamed","0.033","0.15","-1.863","52.959"
"133","Victoria Park","0.032","0.21","-2.586","51.44"
"134","Lightwater Country P...","0.032","0.54","-0.688","51.349"
"135","Bytheway Field","0.032","0.15","-1.957","50.801"
"136","Riverside Garden Par...","0.032","0.11","-0.167","51.163"
"137","Howe Bridge Leisure ...","0.032","0.18","-2.502","53.514"
"138","Longdales Park","0.032","0.13","-0.478","53.26"
"139","Mandale Park","0.032","0.19","-2.168","53.609"
"140","unnamed","0.032","0.11","-1.142","51.599"
"141","Bitteswell Hall Park","0.031","0.17","-1.203","52.477"
"142","Rough Wood Country P...","0.031","1.07","-2.023","52.603"
"143","Bostall Heath","0.031","0.13","0.121","51.48"
"144","Fearnhill Sports Cen...","0.031","0.11","-0.246","51.975"
"145","unnamed","0.031","0.12","1.134","52.575"
"146","Rosehill Park East","0.031","0.13","-0.187","51.38"
"147","Kings' Park","0.031","0.10","-0.946","53.321"
"148","unnamed","0.03","0.11","-2.734","53.796"
"149","Old Park","0.03","0.12","-3.44","51.184"
"150","unnamed","0.03","0.12","1.574","52.458"
"151","unnamed","0.03","0.20","-0.852","51.412"
"152","Chafford Gorges Natu...","0.03","0.26","0.302","51.488"
"153","Claremont Landscape ...","0.03","0.21","-0.377","51.356"
"154","Shortwood Common","0.03","0.20","-0.492","51.435"
"155","Moss Bank Park","0.03","0.29","-2.465","53.596"
"156","King George V Playin...","0.03","0.16","-0.189","51.787"
"157","unnamed","0.029","0.13","0.014","50.867"
"158","Priory Park","0.029","0.11","-1.583","52.285"
"159","The Park","0.029","0.13","-0.756","53.93"
"160","Scrivelsby Park","0.029","1.09","-0.097","53.176"
"161","Burntwood Leisure Ce...","0.029","0.10","-1.93","52.677"
"162","Riddings Park","0.028","0.21","-1.36","53.072"
"163","Fairway Sports Compl...","0.028","0.11","-1.166","50.657"
"164","Waldershare Park","0.028","0.25","1.277","51.188"
"165","Lido Park Droitwich","0.028","0.15","-2.143","52.263"
"166","Paddington Recreatio...","0.028","0.11","-0.189","51.53"
"167","Bexhill Down","0.028","0.16","0.464","50.847"
"168","Ashton Heath","0.027","0.11","-2.627","53.483"
"169","Down Grange Playing ...","0.027","0.21","-1.128","51.247"
"170","Norbroom Park","0.027","0.10","-2.366","52.776"
"171","Tynedale Park","0.027","0.13","-2.011","54.966"
"172","Langdon Hills Countr...","0.027","1.71","0.436","51.545"
"173","Parnham Park","0.027","0.14","-2.741","50.802"
"174","Stanmore Country Par...","0.027","0.16","-2.378","52.531"
"175","Parklands Leisure Ce...","0.027","0.12","-3.995","50.734"
"176","unnamed","0.027","0.10","-1.999","51.427"
"177","Kilkenny Lane Countr...","0.026","0.21","-1.588","51.773"
"178","Bulstrode Park","0.026","0.95","-0.571","51.586"
"179","Memorial Recreation ...","0.026","0.12","-2.828","51.31"
"180","unnamed","0.026","0.11","-0.957","51.427"
