"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"1","unnamed","-1.492","0.13","-1.796","52.492"
"2","Gunby Park","-1.312","0.47","0.195","53.179"
"3","Stanley Park","-0.914","0.34","-2.961","53.434"
"4","South Cliff Gardens","-0.879","0.14","-0.393","54.27"
"5","Burn Valley Gardens","-0.749","0.10","-1.227","54.678"
"6","Hutton Moor Leisure ...","-0.726","0.19","-2.95","51.344"
"7","Bolton Brickyard Pon...","-0.697","0.10","-1.307","53.525"
"8","Ley Hill Recreation ...","-0.688","0.20","-1.979","52.421"
"9","Philips Park","-0.598","0.12","-2.194","53.488"
"10","Robin Hill Country P...","-0.526","0.47","-1.239","50.687"
"11","Jubilee Park","-0.523","0.11","-2.047","52.538"
"12","Small Heath Park","-0.481","0.17","-1.852","52.465"
"13","unnamed","-0.475","0.14","0.155","52.668"
"14","Mandale Park","-0.47","0.19","-2.168","53.609"
"15","Fleetwood Marsh Natu...","-0.467","0.20","-3.011","53.911"
"16","Osmaston Park","-0.418","0.13","-1.462","52.893"
"17","Clee Fields","-0.413","0.17","-0.057","53.555"
"18","Newham Grange Park","-0.398","0.21","-1.339","54.577"
"19","Hengrove Park Leisur...","-0.379","0.34","-2.579","51.414"
"20","Barton's Point","-0.372","0.31","0.79","51.436"
"21","Paddington Recreatio...","-0.369","0.11","-0.189","51.53"
"22","Halewood Doorstep Gr...","-0.363","0.15","-2.844","53.357"
"23","unnamed","-0.361","0.15","-0.368","53.776"
"24","unnamed","-0.353","0.14","-2.887","53.479"
"25","unnamed","-0.352","0.17","-0.68","52.295"
"26","Market Gardens","-0.353","0.16","-1.932","55.671"
"27","unnamed","-0.336","0.15","-2.2","53.061"
"28","Wyken Croft Nature P...","-0.322","0.25","-1.454","52.425"
"29","unnamed","-0.314","0.21","-2.115","52.994"
"30","unnamed","-0.311","0.12","-1.45","54.951"
"31","unnamed","-0.309","0.13","-1.782","51.587"
"32","Victoria Park","-0.306","0.14","-1.963","52.49"
"33","unnamed","-0.307","0.10","-0.276","52.595"
"34","The Warren","-0.307","0.13","-5.118","50.41"
"35","unnamed","-0.307","0.28","-2.67","53.546"
"36","Central Park","-0.302","0.68","-4.147","50.386"
"37","unnamed","-0.301","0.11","-1.499","53.809"
"38","Clarence Park","-0.301","0.23","-2.285","53.606"
"39","Brinton Park","-0.297","0.11","-2.257","52.38"
"40","Priory Park","-0.297","0.18","0.707","51.553"
"41","Mayon Green","-0.295","0.14","-5.69","50.078"
"42","Town Field","-0.291","0.37","-1.117","53.523"
"43","unnamed","-0.292","0.22","-2.296","53.497"
"44","Old Park","-0.289","0.12","-3.44","51.184"
"45","Memorial Park","-0.289","0.14","-2.063","52.587"
"46","King George V Playin...","-0.286","0.11","-1.212","52.972"
"47","Aston Park","-0.275","0.22","-1.883","52.506"
"48","Queen's Park Sports ...","-0.268","0.12","-1.433","53.233"
"49","unnamed","-0.263","0.14","-1.678","54.986"
"50","The Duckeries","-0.259","0.19","-2.693","53.448"
"51","Queen's Park","-0.258","0.12","-2.459","53.74"
"52","Rimrose Valley Count...","-0.255","1.16","-3.006","53.481"
"53","Gallager Park","-0.253","0.15","-1.58","55.139"
"54","Kettlebrook Park","-0.253","0.35","-1.664","52.614"
"55","Warrens Hall Park","-0.254","0.40","-2.068","52.493"
"56","Walker Park","-0.251","0.11","-1.547","54.971"
"57","Samphire Hoe Country...","-0.251","0.32","1.273","51.104"
"58","Manor Gardens","-0.249","0.11","-3.501","50.461"
"59","Elmers Green Common","-0.25","0.22","-2.762","53.552"
"60","Parsloes Park","-0.249","0.60","0.135","51.544"
"61","Langold Country Park","-0.248","0.56","-1.127","53.371"
"62","Whittleford Park","-0.248","0.50","-1.503","52.526"
"63","unnamed","-0.247","0.21","-1.91","52.401"
"64","Babb's Mill Recreati...","-0.245","0.10","-1.746","52.489"
"65","unnamed","-0.241","0.35","-2.955","51.157"
"66","Newsham Park","-0.233","0.41","-2.938","53.42"
"67","unnamed","-0.233","0.28","-1.739","53.776"
"68","Rowley Park Sports S...","-0.231","0.13","-2.123","52.794"
"69","Knights Grange Sport...","-0.229","0.77","-2.544","53.2"
"70","Queen's Park","-0.229","0.20","-2.443","53.579"
"71","Jubilee Meadows","-0.229","0.16","-1.681","54.706"
"72","unnamed","-0.228","0.15","-1.29","53.599"
"73","Saltburn Valley","-0.226","0.23","-0.97","54.579"
"74","Blackleach Country P...","-0.224","0.31","-2.392","53.532"
"75","unnamed","-0.224","0.11","-2.82","54.064"
"76","Murton Recreation Gr...","-0.224","0.13","-1.389","54.812"
"77","Jubilee Park","-0.224","0.11","-0.994","53.582"
"78","Abbey Park","-0.215","0.36","-1.134","52.646"
"79","Holland Park","-0.205","0.21","-0.202","51.502"
"80","Melland Field","-0.204","0.12","-2.176","53.452"
"81","unnamed","-0.203","0.34","-1.242","53.485"
"82","Queen's Park","-0.198","0.14","-2.22","53.504"
"83","Crow Lane Open Space","-0.197","0.13","-2.625","51.509"
"84","unnamed","-0.197","0.12","-2.865","53.43"
"85","King George's Field","-0.195","0.16","-2.007","52.623"
"86","Victoria Park","-0.195","0.11","-3.02","53.373"
"87","Ox Hay Pleasure Grou...","-0.193","0.12","-1.625","52.8"
"88","Prince's Park","-0.188","0.26","-2.415","53.444"
"89","Thompson Park","-0.186","0.11","-2.235","53.795"
"90","unnamed","-0.186","0.13","-1.851","52.529"
"91","Lake Farm Country Pa...","-0.185","0.25","-0.429","51.511"
"92","Blackbird Leys Leisu...","-0.184","0.10","-1.195","51.721"
"93","unnamed","-0.184","0.13","-1.439","53.56"
"94","The Park","-0.185","0.13","-2.463","52.913"
"95","Marl Pits Sports Com...","-0.184","0.17","-2.269","53.705"
"96","London Fields","-0.18","0.13","-0.059","51.54"
"97","Seaton Valley Countr...","-0.178","0.58","-4.387","50.375"
"98","Fox Hollies Park","-0.177","0.17","-1.821","52.437"
"99","Alexandra Park","-0.175","0.36","0.567","50.869"
"100","West Park","-0.174","0.14","-0.37","53.746"
"101","Neatherd Moor","-0.173","0.15","0.957","52.683"
"102","Link Common","-0.172","0.20","-2.318","52.123"
"103","unnamed","-0.168","0.13","-2.512","53.514"
"104","Riddings Park","-0.168","0.21","-1.36","53.072"
"105","Ward End Park","-0.168","0.19","-1.837","52.493"
"106","Mitcham Common","-0.168","1.73","-0.15","51.393"
"107","Burgate Great Green","-0.168","0.17","1.056","52.346"
"108","Lordship Recreation ...","-0.168","0.23","-0.086","51.594"
"109","unnamed","-0.166","0.14","-0.259","53.759"
"110","Peel Park","-0.166","0.26","-1.742","53.808"
"111","unnamed","-0.166","0.13","-1.349","52.727"
"112","Plumstead Common","-0.166","0.38","0.099","51.481"
"113","Turbary Common","-0.166","0.43","-1.916","50.752"
"114","Rectory Farm Pocket ...","-0.163","0.13","-0.803","52.266"
"115","unnamed","-0.163","0.13","-2.916","50.923"
"116","unnamed","-0.162","0.11","-0.2","53.615"
"117","Holbrooks Park","-0.162","0.12","-1.513","52.439"
"118","Orford Park","-0.161","0.15","-2.582","53.404"
"119","Parklands Leisure Ce...","-0.159","0.12","-3.995","50.734"
"120","Albany Park","-0.159","0.17","-1.525","54.911"
"121","Backhouse Park","-0.159","0.14","-1.38","54.893"
"122","Pallister Park","-0.159","0.11","-1.202","54.564"
"123","West Ham Park","-0.159","0.26","0.02","51.539"
"124","Jackey Baker's Recre...","-0.159","0.17","1.397","51.352"
"125","unnamed","-0.158","0.14","-2.638","53.658"
"126","unnamed","-0.158","0.29","-1.364","50.892"
"127","Durants Park","-0.155","0.20","-0.04","51.653"
"128","unnamed","-0.153","0.15","-2.02","53.114"
"129","Ashland Lakes","-0.153","0.10","-0.724","52.014"
"130","unnamed","-0.153","0.31","-0.341","53.791"
"131","Mansel Park","-0.147","0.10","-1.46","50.928"
"132","Central Park","-0.147","0.19","-3.037","53.416"
"133","Woodgate Valley Coun...","-0.147","2.01","-1.995","52.447"
"134","North Down Recreatio...","-0.146","0.12","-0.022","51.345"
"135","Upton Park","-0.146","0.13","-3.096","53.396"
