"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"136","Yarborough Leisure C...","-0.146","0.11","-0.542","53.248"
"137","Knightshayes Park","-0.146","0.71","-3.479","50.921"
"138","unnamed","-0.145","0.19","-1.341","52.558"
"139","Heacham Park","-0.145","0.18","0.497","52.914"
"140","unnamed","-0.144","0.11","-1.101","53.323"
"141","Burntwood Leisure Ce...","-0.144","0.10","-1.93","52.677"
"142","Leegomery Pools","-0.144","0.11","-2.496","52.708"
"143","unnamed","-0.144","0.15","0.352","51.419"
"144","Berry Hill Park","-0.142","0.26","-1.176","53.128"
"145","Fowler Playing Field...","-0.142","0.24","-2.12","52.599"
"146","Berrington Park","-0.142","1.10","-2.719","52.265"
"147","Holywells Park","-0.141","0.18","1.174","52.047"
"148","The Well Head Fields","-0.141","0.10","-0.379","52.765"
"149","The Alan Higgs Centr...","-0.141","0.13","-1.472","52.391"
"150","Humberstone Park","-0.138","0.12","-1.083","52.639"
"151","Aylestone Leisure Ce...","-0.136","0.13","-1.133","52.608"
"152","Bluebell Park","-0.136","0.22","-2.092","52.523"
"153","Grin Low And Buxton ...","-0.136","0.42","-1.925","53.247"
"154","Kingscote Park","-0.135","0.10","-3.027","53.824"
"155","Oare Gunpowder Works...","-0.134","0.16","0.875","51.325"
"156","unnamed","-0.134","0.18","-1.155","53.615"
"157","Parnham Park","-0.134","0.14","-2.741","50.802"
"158","Handsworth Park","-0.134","0.27","-1.924","52.509"
"159","Southglade Leisure C...","-0.133","0.27","-1.17","53"
"160","Duke's Park","-0.132","0.11","-0.194","54.088"
"161","unnamed","-0.132","0.15","-0.132","51.502"
"162","Walton Hall Park","-0.132","0.54","-2.952","53.448"
"163","Highdown Gardens","-0.132","0.12","-0.441","50.824"
"164","Basildon Sporting Vi...","-0.13","0.25","0.451","51.577"
"165","Parson Cross Park","-0.13","0.25","-1.47","53.425"
"166","Yeovil Recreation Ce...","-0.129","0.17","-2.638","50.953"
"167","Chilton Fields Sport...","-0.129","0.12","0.976","52.195"
"168","West Park","-0.128","0.11","-1.432","54.98"
"169","Broadhurst Park Play...","-0.128","0.11","-2.182","53.517"
"170","Racecourse Park","-0.127","0.40","-1.461","52.931"
"171","Kings' Park","-0.127","0.10","-0.946","53.321"
"172","Southrepps Common","-0.126","0.11","1.361","52.865"
"173","Gosport Park","-0.126","0.10","-1.134","50.787"
"174","Community North Spor...","-0.126","0.29","-1.437","54.932"
"175","unnamed","-0.126","0.12","1.574","52.458"
"176","Montrose Playing Fie...","-0.126","0.11","-0.256","51.597"
"177","unnamed","-0.124","0.14","-2.163","52.269"
"178","Marsden Park","-0.123","0.12","-2.188","53.838"
"179","unnamed","-0.123","0.12","-1.348","54.771"
"180","Fairway Sports Compl...","-0.123","0.11","-1.166","50.657"
"181","Mill Green Nature Pa...","-0.123","0.28","-2.015","52.689"
"182","Netherwood Country P...","-0.123","0.18","-1.406","53.533"
"183","Bishops Road Recreat...","-0.123","0.21","-0.233","52.569"
"184","Sharley Park Leisure...","-0.123","0.15","-1.402","53.166"
"185","Decoy Country Park","-0.121","0.54","-3.603","50.518"
"186","The Shire Country Pa...","-0.12","0.90","-1.864","52.419"
"187","East Fen Common","-0.121","0.21","0.353","52.332"
"188","Calthorpe Park","-0.118","0.13","-1.897","52.46"
"189","Mote Park","-0.118","1.75","0.547","51.263"
"190","Belhus Park","-0.117","0.68","0.264","51.506"
"191","unnamed","-0.117","0.10","0.827","52.576"
"192","The Lawn","-0.117","0.36","-1.766","51.551"
"193","Rutland Sports Park","-0.116","0.20","-1.319","52.969"
"194","Grange Park","-0.116","0.66","-2.644","53.772"
"195","Marston Park","-0.116","0.93","-2.341","51.202"
"196","Hulton Abbey Park","-0.115","0.11","-2.141","53.028"
"197","Hetton Park","-0.115","0.17","-1.456","54.827"
"198","unnamed","-0.114","0.17","-0.452","53.997"
"199","Westfield Park","-0.114","0.16","-1.604","55.082"
"200","Scrivelsby Park","-0.114","1.09","-0.097","53.176"
