"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"188","Bennett's Park","-0.102","0.24","0.631","51.964"
"189","Highmoor Park","-0.102","0.34","-3.141","54.818"
"190","Yarborough Leisure C...","-0.101","0.11","-0.542","53.248"
"191","Wassand Park","-0.101","0.42","-0.218","53.898"
"192","unnamed","-0.101","0.22","-2.296","53.497"
"193","Holley Park","-0.1","0.12","-1.54","54.893"
"194","Holywells Park","-0.1","0.18","1.174","52.047"
"195","unnamed","-0.1","0.10","-0.177","51.698"
"196","Odd Down Sports Grou...","-0.1","0.17","-2.373","51.361"
"197","Harvey Hadden Sports...","-0.1","0.17","-1.218","52.967"
"198","Wincombe Park","-0.099","0.18","-2.171","51.016"
"199","Riverside Garden Par...","-0.099","0.11","-0.167","51.163"
"200","Little Stoke Park","-0.098","0.12","-2.56","51.528"
