"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"1","Plumley Park","-0.561","0.12","-2.915","51.354"
"2","Gunby Park","-0.482","0.47","0.195","53.179"
"3","South Cliff Gardens","-0.461","0.14","-0.393","54.27"
"4","unnamed","-0.431","0.13","-1.796","52.492"
"5","Robin Hill Country P...","-0.431","0.47","-1.239","50.687"
"6","Market Gardens","-0.431","0.16","-1.932","55.671"
"7","The Well Head Fields","-0.329","0.10","-0.379","52.765"
"8","Stafford Common","-0.315","0.46","-2.119","52.827"
"9","Ley Hill Recreation ...","-0.31","0.20","-1.979","52.421"
"10","unnamed","-0.31","0.17","-0.68","52.295"
"11","Thornham Park","-0.301","0.30","1.083","52.302"
"12","unnamed","-0.297","0.13","-1.782","51.587"
"13","Burn Valley Gardens","-0.279","0.10","-1.227","54.678"
"14","Old Park","-0.275","0.12","-3.44","51.184"
"15","unnamed","-0.275","0.19","-1.341","52.558"
"16","Holland Park","-0.273","0.21","-0.202","51.502"
"17","unnamed","-0.263","0.14","0.155","52.668"
"18","Poolfoot Farm Traini...","-0.245","0.14","-3.007","53.885"
"19","Brookfields Park","-0.241","0.29","-1.317","53.51"
"20","The Warren","-0.24","0.13","-5.118","50.41"
"21","Rose Garden","-0.233","0.15","-1.33","54.557"
"22","The Park","-0.231","0.13","-0.486","53.863"
"23","Neatherd Moor","-0.231","0.15","0.957","52.683"
"24","Kettlebrook Park","-0.231","0.35","-1.664","52.614"
"25","Brinton Park","-0.231","0.11","-2.257","52.38"
"26","unnamed","-0.227","0.15","-1.863","52.959"
"27","Possingworth Park","-0.222","1.34","0.195","50.966"
"28","Burntwood Leisure Ce...","-0.217","0.10","-1.93","52.677"
"29","Osmaston Park","-0.216","0.13","-1.462","52.893"
"30","The Park","-0.213","0.13","-2.463","52.913"
"31","Queen's Park Sports ...","-0.211","0.12","-1.433","53.233"
"32","Link Common","-0.21","0.20","-2.318","52.123"
"33","Clarence Park","-0.21","0.23","-2.285","53.606"
"34","East Fen Common","-0.209","0.21","0.353","52.332"
"35","Ellergreen Park","-0.197","0.28","-2.771","54.349"
"36","Victoria Park","-0.197","0.13","-2.061","52.525"
"37","Bedlington Country P...","-0.19","0.64","-1.591","55.117"
"38","unnamed","-0.189","0.13","-1.349","52.727"
"39","Monks-Neil Park","-0.188","0.14","-2.187","53.069"
"40","unnamed","-0.183","0.13","-2.916","50.923"
"41","Walton Hall Park","-0.182","0.54","-2.952","53.448"
"42","Watermead Country Pa...","-0.181","1.48","-1.104","52.686"
"43","Highdown Gardens","-0.181","0.12","-0.441","50.824"
"44","Chilton Fields Sport...","-0.18","0.12","0.976","52.195"
"45","Shobnall Leisure Com...","-0.179","0.29","-1.654","52.811"
"46","Parklands Leisure Ce...","-0.177","0.12","-3.995","50.734"
"47","Mayon Green","-0.176","0.14","-5.69","50.078"
"48","Haden Hill Park","-0.173","0.37","-2.063","52.463"
"49","Sanders Park","-0.172","0.15","-2.071","52.333"
"50","unnamed","-0.169","0.16","-1.189","51.737"
"51","unnamed","-0.169","0.28","-2.67","53.546"
"52","unnamed","-0.167","0.35","-2.955","51.157"
"53","Nunroyd Park","-0.167","0.20","-1.697","53.869"
"54","One Leisure St Ives ...","-0.167","0.16","-0.092","52.337"
"55","Central Park","-0.166","0.68","-4.147","50.386"
"56","High Tor Recreation ...","-0.163","0.19","-1.555","53.129"
"57","Priory Park","-0.163","0.18","0.707","51.553"
"58","unnamed","-0.163","0.33","-2.106","52.985"
"59","Parnham Park","-0.163","0.14","-2.741","50.802"
"60","Langold Country Park","-0.163","0.56","-1.127","53.371"
"61","unnamed","-0.162","0.11","-1.427","51.601"
"62","unnamed","-0.162","0.10","-0.276","52.595"
"63","The Shire Country Pa...","-0.162","0.90","-1.864","52.419"
"64","Whittleford Park","-0.157","0.50","-1.503","52.526"
"65","unnamed","-0.155","0.11","-2.836","51.449"
"66","Stockley Country Par...","-0.154","0.17","-0.455","51.516"
"67","Chesham Moor","-0.154","0.14","-0.599","51.693"
"68","Decoy Country Park","-0.154","0.54","-3.603","50.518"
"69","Upton Meadow","-0.154","0.16","-3.104","53.38"
"70","Memorial Park","-0.154","0.14","-2.063","52.587"
"71","Mandale Park","-0.154","0.19","-2.168","53.609"
"72","unnamed","-0.154","0.24","-0.204","51.396"
"73","Knightshayes Park","-0.153","0.71","-3.479","50.921"
"74","Brookdale Park","-0.153","0.19","-2.165","53.498"
"75","Wyken Croft Nature P...","-0.151","0.25","-1.454","52.425"
"76","Woolten Woods And Ca...","-0.15","0.21","-2.868","53.369"
"77","Grin Low And Buxton ...","-0.15","0.42","-1.925","53.247"
"78","unnamed","-0.147","0.12","-0.993","51.744"
"79","The Edge","-0.147","0.17","-0.746","51.095"
"80","Hengrove Park Leisur...","-0.145","0.34","-2.579","51.414"
"81","Tynedale Park","-0.145","0.13","-2.011","54.966"
"82","Cusworth Park","-0.145","0.22","-1.175","53.528"
"83","unnamed","-0.145","0.14","-1.678","54.986"
"84","Marl Pits Sports Com...","-0.144","0.17","-2.269","53.705"
"85","unnamed","-0.143","0.17","-0.452","53.997"
"86","Audley Park","-0.143","0.86","0.227","52.021"
"87","Amesbury Park","-0.142","0.43","-1.789","51.174"
"88","Clee Fields","-0.142","0.17","-0.057","53.555"
"89","Over Norton Park","-0.142","0.53","-1.533","51.954"
"90","Broome Heath","-0.139","0.29","1.455","52.47"
"91","Manor Park","-0.139","0.15","-3.235","50.726"
"92","Furzton Lake","-0.139","0.38","-0.763","52.014"
"93","Chennell Park","-0.139","0.20","0.676","51.073"
"94","Turbary Common","-0.139","0.43","-1.916","50.752"
"95","Ampthill Park","-0.139","0.63","-0.502","52.035"
"96","unnamed","-0.139","0.12","-1.45","54.951"
"97","Waldershare Park","-0.137","0.25","1.277","51.188"
"98","Scrivelsby Park","-0.137","1.09","-0.097","53.176"
"99","Heacham Park","-0.137","0.18","0.497","52.914"
"100","Warley Park","-0.137","0.25","-1.981","52.473"
"101","Bowness Gardens","-0.137","0.14","-2.606","51.497"
"102","Knights Grange Sport...","-0.137","0.77","-2.544","53.2"
"103","Paddington Recreatio...","-0.135","0.11","-0.189","51.53"
"104","Butterley Park","-0.133","0.94","-1.38","53.054"
"105","Astley Park","-0.132","0.45","-2.642","53.658"
"106","unnamed","-0.132","0.11","-3.015","53.326"
"107","unnamed","-0.132","0.34","-2.377","53.446"
"108","Saltburn Valley","-0.131","0.23","-0.97","54.579"
"109","Birchall Playing Fie...","-0.13","0.12","-2.024","53.093"
"110","Lyme and Wood Pits C...","-0.128","0.99","-2.653","53.462"
"111","Sullington Warren","-0.128","0.26","-0.439","50.919"
"112","Leegomery Pools","-0.126","0.11","-2.496","52.708"
"113","Test Park","-0.126","0.14","-1.468","50.928"
"114","unnamed","-0.126","0.15","0.352","51.419"
"115","Kings' Park","-0.126","0.10","-0.946","53.321"
"116","Barton's Point","-0.126","0.31","0.79","51.436"
"117","New Park","-0.126","0.18","-1.666","53.568"
"118","Seaton Valley Countr...","-0.125","0.58","-4.387","50.375"
"119","American Garden","-0.124","0.25","-0.769","51.337"
"120","Yeovil Recreation Ce...","-0.123","0.17","-2.638","50.953"
"121","Montreal Park","-0.123","0.18","0.166","51.277"
"122","Church Green","-0.122","0.15","1.041","52.48"
"123","Jubilee Meadows","-0.122","0.16","-1.681","54.706"
"124","Stanmore Country Par...","-0.121","0.16","-2.378","52.531"
"125","Mill Green Nature Pa...","-0.121","0.28","-2.015","52.689"
"126","Queen's Park","-0.121","0.20","-2.443","53.579"
"127","Southrepps Common","-0.12","0.11","1.361","52.865"
"128","Knighton Park","-0.12","0.34","-1.106","52.599"
"129","Lyndon Playing Field...","-0.12","0.13","-1.8","52.454"
"130","Tiptree Heath","-0.12","0.21","0.731","51.799"
"131","Marston Park","-0.119","0.93","-2.341","51.202"
"132","unnamed","-0.118","0.11","-3.051","53.564"
"133","unnamed","-0.118","0.13","-0.164","50.946"
"134","Calthorpe Park","-0.117","0.14","-0.85","51.277"
"135","Duncan Down","-0.117","0.10","1.028","51.345"
"136","Mote Park","-0.116","1.75","0.547","51.263"
"137","Barham Park","-0.116","0.10","-0.309","51.553"
"138","Sports Centre and Me...","-0.116","0.11","-0.472","52.656"
"139","unnamed","-0.116","0.15","-0.368","53.776"
"140","unnamed","-0.116","0.11","-0.269","51.393"
"141","Alver Valley Country...","-0.115","1.70","-1.179","50.801"
"142","Parsloes Park","-0.115","0.60","0.135","51.544"
"143","Streatlam Park","-0.115","0.35","-1.863","54.57"
"144","Lammas Lands","-0.115","0.30","-0.601","51.189"
"145","Hall Park","-0.114","0.14","-0.598","52.285"
"146","Jubilee Park","-0.114","0.11","-0.994","53.582"
"147","The Park","-0.113","1.23","-0.925","54.121"
"148","Tadley Common","-0.113","0.36","-1.127","51.356"
"149","unnamed","-0.113","0.15","-1.29","53.599"
"150","Naworth Parks","-0.112","2.98","-2.684","54.957"
"151","Beacon Park","-0.111","0.29","-1.837","52.684"
"152","Sunnyhill Park","-0.111","0.22","-0.228","51.596"
"153","Berrington Park","-0.111","1.10","-2.719","52.265"
"154","The Park","-0.111","0.13","-0.756","53.93"
"155","Millbrook Park Mille...","-0.11","0.15","-2.891","53.487"
"156","Howe Bridge Leisure ...","-0.11","0.18","-2.502","53.514"
"157","Bostall Heath","-0.11","0.13","0.121","51.48"
"158","The Lawn","-0.109","0.36","-1.766","51.551"
"159","The Park","-0.109","0.13","-2.186","51.708"
"160","Fairbank Plantation","-0.108","0.11","-2.599","54.207"
"161","Murton Recreation Gr...","-0.108","0.13","-1.389","54.812"
"162","unnamed","-0.107","0.13","-0.332","51.29"
"163","unnamed","-0.107","0.10","-1.669","50.747"
"164","unnamed","-0.107","0.11","-2.82","54.064"
"165","Green Park","-0.106","0.19","-0.142","51.503"
"166","unnamed","-0.106","0.11","-0.2","53.615"
"167","Brockhill Country Pa...","-0.106","0.22","1.067","51.08"
"168","American Gardens","-0.106","0.13","-4.763","50.503"
"169","Allesley Park Golf C...","-0.106","0.12","-1.555","52.419"
"170","Hatch Grange","-0.105","0.15","-1.336","50.93"
"171","Oare Gunpowder Works...","-0.105","0.16","0.875","51.325"
"172","unnamed","-0.105","0.14","-0.034","52.046"
"173","Caythorpe Court","-0.104","0.20","-0.571","53.022"
"174","Mary Stevens Park","-0.104","0.12","-2.149","52.448"
"175","Sluice Common","-0.104","0.12","0.367","52.583"
"176","Colemere","-0.104","0.49","-2.842","52.893"
"177","Langdon Hills Countr...","-0.103","1.71","0.436","51.545"
"178","Sandbach United Foot...","-0.103","0.10","-2.382","53.138"
"179","Norbury Park","-0.103","0.11","-0.117","51.413"
"180","Norton Sports Villag...","-0.103","0.19","-1.324","54.597"
"181","Lily Hill Park","-0.103","0.24","-0.724","51.414"
"182","Elmers Green Common","-0.103","0.22","-2.762","53.552"
"183","Manor Gardens","-0.103","0.11","-3.501","50.461"
"184","Norbroom Park","-0.102","0.10","-2.366","52.776"
"185","Bexhill Down","-0.102","0.16","0.464","50.847"
"186","Lido Park Droitwich","-0.102","0.15","-2.143","52.263"
"187","unnamed","-0.102","0.11","-2.734","53.796"
